latitude,longitude
40.74804263,-73.99295302
42.361016,-71.02000488
33.94540417,-118.4062472
33.94209449,-118.40410103
33.2145038,-96.9321504
34.0219817,-118.38591198
33.57963333,-117.73024772
40.6413712,-73.78311558
36.08457854,-115.13780136
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
37.79374402,-122.39327564
26.074379,-80.1416831
33.9469039,-118.40716847
51.04345575,-114.06071363
40.64662464,-73.77090177
33.94652852,-118.40766257
38.9128188,-77.00798226
32.84359605,-96.84910929
32.8437698,-96.84928399
0.0,0.0
26.06726717,-80.14433663
0.0,0.0
32.8454782,-96.8504585
0.0,0.0
39.24087254,-94.63994975
0.0,0.0
0.0,0.0
0.0,0.0
37.77465018,-122.44032176
33.94696831,-118.40747994
0.0,0.0
0.0,0.0
40.63767372,-74.11075451
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
40.78986648,-73.10068286
0.0,0.0
42.5696777,-71.42056878
37.80065252,-122.43857414
36.08546367,-115.31814055
19.43706642,-99.07927123
39.8621249,-104.6740909
52.59657643,-2.19877833
29.98386923,-95.33729612
29.98340611,-95.33682231
29.98350019,-95.33675519
29.98377529,-95.33756559
29.98350283,-95.33678993
29.98384925,-95.3374653
29.98372726,-95.33734532
29.98521945,-90.25215941
29.98698389,-90.25081767
29.98699328,-90.25081691
29.98878092,-90.25836915
29.9880285,-90.25781369
29.987463,-90.25860012
29.98746669,-90.25862007
35.8057062,-78.7869445
52.48854137,-1.91022836
45.58711296,-122.58038932
59.38247253,18.00789007
0.0,0.0
0.0,0.0
0.0,0.0
32.86680572,-80.01338439
41.9785651,-87.90833965
53.36729431,-2.27861694
41.98202331,-87.90374263
37.7994546,-122.427629
41.97777091,-87.90782014
41.88298649,-87.63403627
35.8056542,-78.786848
33.9411179,-118.3972405
41.98191311,-87.80888924
39.85862444,-104.6768992
38.9470418,-77.4511456
41.97758714,-87.91388554
38.9470207,-77.4511745
0.0,0.0
0.0,0.0
40.68545235,-74.18374208
51.3228181,5.3576138
26.07324041,-80.14510971
40.69943599,-74.17868875
26.07694041,-80.13546475
40.6992418,-74.17884798
28.62111274,-81.29294408
40.69814396,-74.17906717
39.85790482,-104.67039013
39.85799572,-104.67056217
0.0,0.0
51.72050559,8.72711201
0.0,0.0
29.7420124,-95.5606921
40.6875448,-74.17714813
19.43493094,-99.18877967
29.7421541,-95.5600896
41.97745295,-87.91025951
41.97475934,-87.89040377
51.322819,5.3576218
41.97474769,-87.89039148
41.97758466,-87.91065356
29.98788997,-95.34470061
45.52146907,-122.69810485
41.97495038,-87.89005988
0.0,0.0
29.98877308,-95.33846478
41.97883697,-87.90639116
45.67920767,-111.04847652
41.97888728,-87.90617197
33.64323551,-84.44248239
40.69450196,-74.1749219
0.0,0.0
39.24541389,-106.88172648
20.0615871,110.18390431
0.0,0.0
0.0,0.0
0.0,0.0
39.84911904,-104.67447584
36.08161548,-115.14959772
27.9746606,-82.5320172
45.67922537,-111.04823044
45.67922693,-111.04839797
45.67925887,-111.04844481
45.67912434,-111.04847959
29.98378319,-95.33473143
-38.0271635,145.2112317
-38.0269936,145.2110041
0.0,0.0
0.0,0.0
33.94077727,-118.39921036
29.9866693,-95.3382794
0.0,0.0
36.08655568,-115.1394417
41.92992293,-87.66944213
41.97890473,-87.91027352
41.9763291,-87.73856403
51.3228191,5.3576225
43.56768225,-116.22061173
38.95201335,-77.44443882
43.56764134,-116.22089932
0.0,0.0
39.8586527,-104.6718518
40.69672337,-74.17710665
47.4390828,-122.300713
47.4389994,-122.3010208
39.85861469,-104.67233425
-37.8536992,145.1106176
39.8586566,-104.6718497
39.8586593,-104.6718352
39.85873319,-104.67372668
0.0,0.0
37.83520596,-122.25460611
29.98704632,-95.3378275
29.98707518,-95.33783524
41.97862209,-87.91469774
41.97456785,-87.90563774
25.79104444,-80.27338351
0.0,0.0
39.99829207,-82.88085401
39.99814659,-82.88058383
38.94562938,-77.44400264
29.98872603,-95.3384666
29.98870677,-95.33845443
40.6941088,-74.17545854
39.99806982,-82.88439575
22.31355693,113.92636768
0.0,0.0
37.61980156,-122.38447633
33.94171725,-118.39844033
34.99254864,-80.92841859
37.61829369,-122.39192247
21.32911863,-157.91749165
38.95801195,-77.44365722
38.93770157,-77.4551004
37.61839686,-122.38751
37.61926072,-122.38812564
38.95638224,-77.43898845
0.0,0.0
35.07067492,-80.7899648
43.60417384,-110.7362561
39.85760174,-104.66669625
26.07294988,-80.14147128
0.0,0.0
35.00096266,-80.87374938
35.00595547,-80.89437239
19.43010575,-99.18988829
0.0,0.0
19.41622708,-99.16143525
37.61782989,-122.39172299
37.61761896,-122.39164663
40.72476892,-74.09204213
18.47066766,-68.40014139
38.94291482,-77.44870496
31.27777976,121.59340615
33.84438223,-116.5516582
33.84445776,-116.55139365
40.73074756,-73.95248962
33.89611413,-84.33113356
0.0,0.0
33.89638659,-84.33108377
25.08347991,-77.3225763
42.3613256,-71.0167387
39.74529398,-104.99225976
18.47240961,-68.39941149
18.4729405,-68.39820768
18.47233225,-68.39941165
18.4710809,-68.39995916
43.59688282,-72.96820686
